produto;Classe;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Tinto;VINHO DE MESA;241057928;164143454;157290088;210113358;175875432;163111797;157776363;169811472;75279191;1365957;188270142;121045115;103916391;146075996;162844214;139320884
Branco;VINHO DE MESA;42942053;39211278;35408083;46007504;34938249;32066403;37438069;39557250;10727099;217527985;29229970;22032828;19568734;26432799;30198430;27910299
Rosado;VINHO DE MESA;3506830;2063474;2569809;1719887;1963356;1726022;958691;939838;312725;36121245;875524;1551794;715289;1391200;1988968;2531246
Tinto ;VINHO FINO DE MESA (VINIFERA);27583032;18209043;11401406;24104740;24027589;23156458;17208996;16745896;8774847;21442212;19118254;17389377;15451883;20433249;24417918;23615783
Branco ;VINHO FINO DE MESA (VINIFERA);18812571;21366975;13013027;22739426;20647238;21906349;20054804;19561966;8705066;21928400;18297257;18193055;15487915;20867999;20896613;20693437
Rosado;VINHO FINO DE MESA (VINIFERA);938898;324550;391280;754305;525903;719723;1200514;841120;590713;1167258;1291709;2032990;1576888;2173750;2197265;1959336
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
